appendix,file,title,provenance,source,notes
F,F LCA Diagnostics/figures/dist_kdensity_icpf.png,Kernel density of trust and financial climate (ICPF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iedf.png,Kernel density of fraud exposure and recourse harm (IEDF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_ieh.png,Kernel density of enabling environment (IEH),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_ietr_score_01.png,Kernel density of transactional experience (IETR),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_ipcs.png,Kernel density of prevention and safe conduct (IPCS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iuof_score_01.png,Kernel density of financial use and operability (IUOF),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_iurd_score_01.png,Kernel density of digital-remittance and payment intensity (IURD),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_ivs_score.png,Kernel density of socioeconomic vulnerability (IVS),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/dist_kdensity_oqi_score_01.png,Kernel density of onboarding quality (OQI),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc1_index_distributions.png,Combined index distributions,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc1a_index_histograms.png,Index histogram panel,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc2_correlation_heatmap.png,Index correlation heatmap,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc6_final_class_profile_probabilities.png,Final class-profile probabilities,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc7_final_class_centroids_standardized.png,Standardized class centroids,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc8_final_class_sizes.png,Final segment sizes,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc9_posterior_certainty.png,Posterior classification certainty,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc9a_posterior_probability_distribution.png,Posterior-probability distribution,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc9b_posterior_certainty_by_segment.png,Posterior certainty by segment,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc10_outcome_means_by_segment_slides.png,Outcome means by segment (presentation layout),Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc10_outcome_means_by_segment.png,Outcome means by segment,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc10a_class_defining_outcomes.png,Class-defining outcomes,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/figures/figc10b_external_outcomes_mechanisms.png,External outcomes and mechanisms,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F1_Sample_Integrity.xlsx,Sample integrity,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F2_Indicator_Inventory.xlsx,Indicator inventory,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F3_Missingness_and_Unique_Values.xlsx,Missingness and unique values,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F4_Category_Distributions.xlsx,Category distributions,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F5_Pairwise_Associations.xlsx,Pairwise associations,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F6_LCA_Recoding.xlsx,LCA recoding,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F7_Feature_Sets.xlsx,Feature sets,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F8_Model_Selection.xlsx,Model selection,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F9_Final_LCA_Fit.xlsx,Final LCA fit,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F10_Posterior_Certainty.xlsx,Posterior certainty,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F11_Minimal_Response_Patterns.xlsx,Minimal response patterns,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F12_Minimal_Fit_Summary.xlsx,Minimal fit summary,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F13_Minimal_Class_Profiles.xlsx,Minimal class profiles,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F14_Hybrid_Distribution_Diagnostics.xlsx,Hybrid distribution diagnostics,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F15_Hybrid_Category_Distributions.xlsx,Hybrid category distributions,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F16_Hybrid_Response_Patterns.xlsx,Hybrid response patterns,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F17_Hybrid_Fit_Summary.xlsx,Hybrid fit summary,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
F,F LCA Diagnostics/tables/Table_F18_Hybrid_Class_Profiles.xlsx,Hybrid class profiles,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G1_Class_Profile_Probabilities.png,Class-profile probabilities,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G2_Standardized_Centroids.png,Standardized segment centroids,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G3_Segment_Sizes.png,Segment sizes,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G4_Posterior_Probability_Distribution.png,Posterior-probability distribution,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G5_Posterior_Certainty_by_Segment.png,Posterior certainty by segment,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G6_Class_Defining_Outcomes.png,Class-defining outcomes,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/figures/Figure_G7_Auxiliary_Outcomes_and_Mechanisms.png,Auxiliary outcomes and mechanisms,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G1_Class_Mapping_and_Labels.xlsx,Class mapping and labels,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G2_Conditional_Response_Probabilities.xlsx,Conditional response probabilities,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G3_Segment_Size_and_Certainty.xlsx,Segment size and certainty,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G4_Continuous_Index_Centroids.xlsx,Continuous-index centroids,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G5_Signature_Behaviors.xlsx,Signature behaviors,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G6_Demographic_Profile.xlsx,Demographic profile,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G7_Financial_Behavior_Profile.xlsx,Financial-behavior profile,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G8_Risk_Autonomy_and_Support.xlsx,"Risk, autonomy, and support",Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G9_Core_Outcomes.xlsx,Core outcomes,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G10_Multinomial_Predictors.txt,Multinomial predictors,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G11_Average_Marginal_Effects.txt,Average marginal effects,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G12_Multinomial_Joint_Tests.xlsx,Multinomial joint tests,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G13_Segment_Outcome_Regressions.txt,Segment-outcome regressions,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G14_Segment_Outcome_Joint_Tests.xlsx,Segment-outcome joint tests,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G15_Full_Class_Profiles.xlsx,Full class profiles,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G16_Segment_Centroids.xlsx,Segment centroids,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
G,G Segment Profiles/tables/Table_G17_Policy_Typology.xlsx,Policy typology,Stata-generated analytical output,1 Code/2 Analysis_CFI DPI Migrant Women Colombia.do; packaged by Section 18,Authoritative analytical artifact
